,Unnamed: 0,created_at,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,retweeted_id,retweeted_screen_name,user_mentions_screen_name,user_mentions_id,tweet,user_id,screen_name,followers_count,sentiment
0,0,2019-03-30 20:14:37,1112085741683638272,0,0.0,0.0,938373003355635712,4fnan_zainal,4fnan_zainal,938373003355635712,pls ban kids masa showtime avengers infinity war,925075656127365120,iRfansyamill,39,Negative
1,1,2019-03-30 20:14:39,1112085751267762177,0,0.0,0.0,257265441,skipbolden,skipbolden,257265441,avengers tv series – patrick macne diana rig season five intro series ran,812752256214925312,Brianlovesmovi,5906,Positive
2,2,2019-03-30 20:14:41,1112085758851059714,0,0.0,0.0,0,0,0,0,looking forward avengers end game 😍 avengers avengersendgame marvel samsungs city bradford,924977392535339010,GadgetSwitched,29,Negative
3,3,2019-03-30 20:14:41,1112085761569054723,0,0.0,0.0,254333914,Hypable,Hypable,254333914,'avengers endgame ' posters inspired hilarious avengethefalen memes,1377394638,Christian_sexy7,266,Negative
4,4,2019-03-30 20:14:41,1112085762030358530,MTV_iwan,1.1120855053306348e+18,8.525728665120276e+17,0,0,MTV_iwan,852572866512027650,guess actually love avengers tho ok,1105100693147394048,QuincyWard15,28,Positive
5,5,2019-03-30 20:14:42,1112085764219777024,0,0.0,0.0,393852070,Avengers,Avengers,393852070,'s look new international posters marvel studios ' avengersendgame,3199895164,_khbwww,1621,Negative
6,6,2019-03-30 20:14:46,1112085779625533440,0,0.0,0.0,0,0,omaze,359110231,honestly ’ win least one avengers endgame premier competitions ’ going disapo…,800174106,h2gkmomendes,702,Neutral
7,7,2019-03-30 20:14:54,1112085816313040898,0,0.0,0.0,2160589173,reggiegotlag,reggiegotlag,2160589173,movie god damn fun like ’ get hate cinematography dope fights dope ultron dope idc…,826929313811415040,starksvers,890,Negative
8,8,2019-03-30 20:14:57,1112085828275195904,0,0.0,0.0,1007610384067379200,nomadcevans,nomadcevans,1007610384067379200,calling mom take back home one minute avengersendgame,1095370646815760386,inasizzle,495,Negative
9,9,2019-03-30 20:15:01,1112085845815820288,0,0.0,0.0,354540866,MadiValentine,MadiValentine,354540866,love set,829846704228880385,eddievhfan1984,41,Negative
